Order ID,Order Date,Region,State,City,Customer Segment,Customer Name,Product Category,Sub Category,Product Name,Quantity,Unit Price,Discount,Sales,Cost,Profit,Salesperson,Payment Method
ORD-2023061,2023-03-13,Central,Missouri,Kansas City,Home Office,Rowan Sinclair,Office Supplies,Paper,HeavyStock Cardstock Pack,2,14.3,0.2,22.88,17.14,5.74,Jonas Weber,PayPal
ORD-2023062,2023-12-07,South,Louisiana,New Orleans,Home Office,Sasha Carter,Furniture,Storage,Cirrus 3-Drawer Cabinet,1,233.59,0.05,221.91,165.74,56.17,Noah Kim,Apple Pay
ORD-2023063,2024-04-29,South,Louisiana,New Orleans,Corporate,Rowan Bennett,Apparel,Uniforms,FieldOps Polo (M),1,36.1,0.2,28.88,16.55,12.33,Chloe Dubois,Debit Card
ORD-2023064,2024-02-24,East,New York,New York,Small Business,Parker Nash,Office Supplies,Writing,Meridian Fineliners (6-pack),3,22.68,0.1,61.24,45.69,15.55,Noah Kim,Apple Pay
ORD-2023065,2024-05-14,West,California,Los Angeles,Corporate,Cameron Bennett,Office Supplies,Binders,"VaultBind 2"" Binder",2,12.34,0,24.68,16.09,8.59,Ava Nguyen,PayPal
ORD-2023066,2023-02-27,Central,Texas,Austin,Home Office,Taylor Underwood,Apparel,Uniforms,FieldOps Polo (M),3,34.49,0,103.47,60.95,42.52,Elena Garcia,Purchase Order
ORD-2023067,2024-11-30,East,Florida,Miami,Corporate,Parker Garrison,Furniture,Tables,Compass Meeting Table,3,846.24,0.2,2030.98,1538.02,492.96,Marcus Chen,Wire Transfer
ORD-2023068,2023-12-20,Central,Missouri,Kansas City,Home Office,Quinn Thorne,Apparel,Footwear,Trailmate Work Boots,4,139.31,0.2,445.79,256.12,189.67,Noah Kim,Purchase Order
ORD-2023069,2023-10-30,Central,Illinois,Chicago,Small Business,Sam Underwood,Office Supplies,Paper,Silverleaf A4 Ream (500),6,8.45,0.1,45.63,33.24,12.39,Noah Kim,Debit Card
ORD-2023070,2024-10-13,East,Pennsylvania,Philadelphia,Corporate,Avery Fitzgerald,Technology,Computers,Meridian Mini Desktop,1,755.47,0.2,604.38,337.05,267.33,Marcus Chen,PayPal
ORD-2023071,2023-12-01,South,Tennessee,Nashville,Corporate,Elliot Klein,Furniture,Storage,Ember Filing Unit,1,189.07,0.1,170.16,129.36,40.8,Chloe Dubois,PayPal
ORD-2023072,2023-04-28,South,Georgia,Atlanta,Corporate,Quinn Bennett,Furniture,Storage,Ember Filing Unit,2,192.5,0.1,346.5,197.77,148.73,Liam O'Connor,Purchase Order
ORD-2023073,2023-05-07,South,North Carolina,Charlotte,Home Office,Sam Delgado,Apparel,Footwear,Trailmate Work Boots,2,132.45,0.1,238.41,181.31,57.1,Diego Alvarez,Wire Transfer
ORD-2023074,2024-12-18,Central,Missouri,Kansas City,Consumer,Sam Sinclair,Furniture,Chairs,Halden Ergo Chair,1,342.93,0.2,274.34,158.21,116.13,Priya Patel,Wire Transfer
ORD-2023075,2024-04-09,Central,Missouri,Kansas City,Corporate,Rowan Ibarra,Apparel,Uniforms,FieldOps Polo (L),1,33.29,0.1,29.96,17.98,11.98,Noah Kim,Credit Card
ORD-2023076,2024-12-03,Central,Texas,Austin,Consumer,Riley Underwood,Apparel,Footwear,Trailmate Work Boots,1,138.75,0.2,111.0,63.39,47.61,Ava Nguyen,Credit Card
ORD-2023077,2023-12-08,East,Massachusetts,Boston,Corporate,Emerson Bennett,Technology,Computers,Vector 14 Laptop,1,1360.7,0,1360.7,995.2,365.5,Liam O'Connor,Debit Card
ORD-2023078,2023-05-14,Central,Texas,Dallas,Consumer,Alex Garrison,Technology,Phones,Aurora X12 Smartphone,1,890.15,0.05,845.64,579.63,266.01,Liam O'Connor,Credit Card
ORD-2023079,2023-05-10,South,Georgia,Atlanta,Consumer,Skyler Klein,Apparel,Footwear,Portside Slip-On,2,74.78,0,149.56,107.27,42.29,Jonas Weber,Apple Pay
ORD-2023080,2023-02-01,West,Oregon,Portland,Small Business,Taylor Lockhart,Apparel,Uniforms,FieldOps Polo (L),3,35.35,0.2,84.84,48.1,36.74,Maya Sharma,Debit Card
ORD-2023081,2023-03-09,East,Pennsylvania,Philadelphia,Home Office,Parker Holloway,Apparel,Footwear,Portside Slip-On,1,77.78,0,77.78,58.03,19.75,Elena Garcia,Wire Transfer
ORD-2023082,2023-08-22,South,North Carolina,Charlotte,Small Business,Avery Fitzgerald,Apparel,Footwear,Trailmate Work Boots,3,126.9,0.1,342.63,240.86,101.77,Diego Alvarez,Wire Transfer
ORD-2023083,2023-03-10,West,California,Los Angeles,Consumer,Sasha Mercer,Apparel,Uniforms,HighVis Softshell,2,90.59,0.1,163.06,114.81,48.25,Diego Alvarez,Wire Transfer
ORD-2023084,2023-02-22,Central,Texas,Austin,Home Office,Jordan Mercer,Technology,Computers,Meridian Mini Desktop,1,774.86,0.2,619.89,372.91,246.98,Yuki Tanaka,PayPal
ORD-2023085,2023-04-28,Central,Texas,Dallas,Small Business,Avery Bennett,Technology,Computers,Meridian Mini Desktop,3,771.24,0.1,2082.35,1586.65,495.7,Priya Patel,Debit Card
ORD-2023086,2024-08-02,South,Georgia,Atlanta,Corporate,Reese Garrison,Technology,Phones,Nimbus Pro Phone,1,1114.68,0.15,947.48,612.6,334.88,Noah Kim,PayPal
ORD-2023087,2023-11-29,West,California,Los Angeles,Corporate,Sasha Jansen,Furniture,Storage,Cirrus 3-Drawer Cabinet,2,236.48,0.2,378.37,260.93,117.44,Sofia Rossi,Purchase Order
ORD-2023088,2023-04-27,Central,Missouri,Kansas City,Consumer,Jamie Bennett,Office Supplies,Storage,ClearFile Document Tote,1,30.28,0.15,25.74,19.99,5.75,Sofia Rossi,PayPal
ORD-2023089,2023-08-05,East,Pennsylvania,Philadelphia,Home Office,Avery Delgado,Office Supplies,Paper,Silverleaf A4 Ream (500),1,7.66,0.05,7.28,4.84,2.44,Elena Garcia,Apple Pay
ORD-2023090,2023-02-13,South,Georgia,Atlanta,Small Business,Sasha Klein,Technology,Accessories,HyperDock 8-in-1 Hub,3,79.01,0.15,201.48,143.69,57.79,Marcus Chen,Wire Transfer
ORD-2023091,2023-01-22,Central,Texas,Dallas,Small Business,Cameron Lockhart,Office Supplies,Paper,HeavyStock Cardstock Pack,4,14.31,0,57.24,36.69,20.55,Sofia Rossi,PayPal
ORD-2023092,2023-06-22,West,California,Los Angeles,Corporate,Casey Underwood,Office Supplies,Writing,Onyx Gel Pens (12-pack),1,14.6,0,14.6,8.89,5.71,Priya Patel,Apple Pay
ORD-2023093,2023-03-19,East,Florida,Miami,Small Business,Hayden Carter,Apparel,Footwear,Portside Slip-On,3,74.14,0.1,200.18,146.76,53.42,Noah Kim,Purchase Order
ORD-2023094,2023-03-17,Central,Missouri,Kansas City,Small Business,Taylor Underwood,Technology,Phones,Aurora Lite 5G,3,579.98,0,1739.94,1214.95,524.99,Maya Sharma,Purchase Order
ORD-2023095,2024-01-29,South,Georgia,Atlanta,Small Business,Reese Delgado,Furniture,Tables,Compass Meeting Table,2,852.85,0,1705.7,1256.29,449.41,Yuki Tanaka,Apple Pay
ORD-2023096,2023-06-26,West,California,San Francisco,Small Business,Reese Underwood,Apparel,Uniforms,FieldOps Polo (L),3,33.73,0.1,91.07,58.2,32.87,Ava Nguyen,Apple Pay
ORD-2023097,2024-10-24,Central,Illinois,Chicago,Home Office,Hayden Fitzgerald,Technology,Computers,Meridian Mini Desktop,1,846.32,0,846.32,530.37,315.95,Noah Kim,PayPal
ORD-2023098,2024-11-02,South,Tennessee,Nashville,Consumer,Sasha Rowland,Office Supplies,Storage,ClearFile Document Tote,4,33.72,0,134.88,94.23,40.65,Noah Kim,Credit Card
ORD-2023099,2024-01-07,Central,Texas,Dallas,Corporate,Parker Rowland,Office Supplies,Storage,StackWell Storage Bin,3,22.82,0,68.46,45.65,22.81,Ava Nguyen,Apple Pay
ORD-2023100,2023-12-11,East,Florida,Miami,Corporate,Jamie Ortega,Furniture,Chairs,Loft Lounge Chair,4,627.72,0,2510.88,1797.47,713.41,Noah Kim,Apple Pay
ORD-2023101,2023-09-01,South,North Carolina,Charlotte,Small Business,Hayden Pemberton,Furniture,Storage,Cirrus 3-Drawer Cabinet,1,230.3,0.05,218.78,138.84,79.94,Jonas Weber,PayPal
ORD-2023102,2024-01-27,South,Tennessee,Nashville,Corporate,Jordan Rowland,Furniture,Tables,Northwood Oak Desk,6,503.56,0.1,2719.22,1842.39,876.83,Marcus Chen,PayPal
ORD-2023103,2023-03-27,East,Pennsylvania,Philadelphia,Small Business,Sasha Carter,Furniture,Tables,Northwood Oak Desk,4,490.54,0.1,1765.94,1349.19,416.75,Elena Garcia,Purchase Order
ORD-2023104,2024-01-18,East,Florida,Miami,Consumer,Reese Fitzgerald,Office Supplies,Binders,"VaultBind 2"" Binder",2,11.82,0,23.64,17.56,6.08,Priya Patel,Credit Card
ORD-2023105,2023-10-21,South,Tennessee,Nashville,Small Business,Cameron Ibarra,Apparel,Uniforms,FieldOps Polo (M),4,32.67,0.15,111.08,63.93,47.15,Liam O'Connor,Credit Card
ORD-2023106,2023-02-18,East,Florida,Miami,Small Business,Hayden Ibarra,Technology,Phones,Aurora Lite 5G,3,561.93,0,1685.79,1172.21,513.58,Chloe Dubois,Debit Card
ORD-2023107,2023-10-26,South,Georgia,Atlanta,Home Office,Skyler Sinclair,Furniture,Storage,Ember Filing Unit,4,181.38,0.1,652.97,369.3,283.67,Yuki Tanaka,Purchase Order
ORD-2023108,2024-07-21,West,Oregon,Portland,Small Business,Avery Delgado,Technology,Computers,Vector 16 Studio,6,2369.08,0.1,12793.03,9235.07,3557.96,Noah Kim,Debit Card
ORD-2023109,2024-11-03,West,Washington,Seattle,Corporate,Elliot Garrison,Technology,Accessories,HyperDock 8-in-1 Hub,1,83.44,0.2,66.75,51.77,14.98,Priya Patel,Credit Card
ORD-2023110,2024-04-13,West,Washington,Seattle,Corporate,Parker Quintero,Technology,Phones,Aurora X12 Smartphone,5,884.78,0.1,3981.51,2661.79,1319.72,Liam O'Connor,Credit Card
ORD-2023111,2024-10-24,East,Pennsylvania,Philadelphia,Home Office,Quinn Lockhart,Technology,Computers,Vector 16 Studio,2,2201.58,0.15,3742.69,2698.33,1044.36,Priya Patel,Wire Transfer
ORD-2023112,2024-12-09,South,North Carolina,Charlotte,Home Office,Reese Emerson,Technology,Computers,Vector 16 Studio,6,2091.36,0,12548.16,8475.77,4072.39,Marcus Chen,PayPal
ORD-2023113,2024-11-07,Central,Texas,Austin,Small Business,Sasha Jansen,Apparel,Uniforms,HighVis Softshell,1,92.72,0.1,83.45,57.7,25.75,Diego Alvarez,Credit Card
ORD-2023114,2023-03-18,South,North Carolina,Charlotte,Corporate,Taylor Ibarra,Technology,Phones,Nimbus Pro Phone,3,1137.39,0.2,2729.74,1523.21,1206.53,Diego Alvarez,PayPal
ORD-2023115,2024-01-06,South,Georgia,Atlanta,Corporate,Drew Ibarra,Apparel,Footwear,Portside Slip-On,2,70.99,0.1,127.78,81.98,45.8,Marcus Chen,Credit Card
ORD-2023116,2023-07-10,South,Louisiana,New Orleans,Consumer,Elliot Holloway,Office Supplies,Writing,Meridian Fineliners (6-pack),3,21.34,0.1,57.62,40.89,16.73,Marcus Chen,Debit Card
ORD-2023117,2023-03-17,South,Tennessee,Nashville,Small Business,Casey Garrison,Technology,Computers,Vector 16 Studio,1,2236.38,0.1,2012.74,1519.63,493.11,Noah Kim,Purchase Order
ORD-2023118,2023-08-18,West,California,San Francisco,Corporate,Parker Fitzgerald,Furniture,Tables,Northwood Oak Desk,1,484.37,0.1,435.93,286.63,149.3,Maya Sharma,Credit Card
ORD-2023119,2023-03-09,Central,Missouri,Kansas City,Small Business,Avery Fitzgerald,Apparel,Footwear,Trailmate Work Boots,4,122.6,0.2,392.32,277.14,115.18,Yuki Tanaka,Apple Pay
ORD-2023120,2024-08-24,East,Massachusetts,Boston,Small Business,Sam Mercer,Technology,Phones,Nimbus Pro Phone,4,1056.6,0,4226.4,2481.96,1744.44,Yuki Tanaka,PayPal
ORD-2023121,2023-03-22,Central,Texas,Dallas,Home Office,Emerson Underwood,Furniture,Storage,Ember Filing Unit,2,184.32,0,368.64,217.27,151.37,Noah Kim,Purchase Order
ORD-2023122,2023-02-12,West,California,Los Angeles,Consumer,Parker Klein,Office Supplies,Binders,SlimEdge Ring Binder,2,6.16,0,12.32,8.19,4.13,Diego Alvarez,PayPal
ORD-2023123,2024-05-09,East,Florida,Miami,Home Office,Morgan Lockhart,Apparel,Uniforms,HighVis Softshell,5,89.69,0.05,426.03,267.65,158.38,Chloe Dubois,PayPal
ORD-2023124,2023-12-20,South,Tennessee,Nashville,Home Office,Morgan Emerson,Technology,Accessories,BraidedCharge USB-C Cable,4,19.1,0.1,68.76,44.93,23.83,Ava Nguyen,PayPal
ORD-2023125,2024-01-29,South,Tennessee,Nashville,Corporate,Elliot Bennett,Office Supplies,Writing,Onyx Gel Pens (12-pack),3,15.18,0.2,36.43,27.4,9.03,Marcus Chen,Wire Transfer
ORD-2023126,2024-06-01,South,Tennessee,Nashville,Corporate,Alex Emerson,Office Supplies,Paper,Silverleaf A4 Ream (500),1,7.84,0.2,6.27,3.86,2.41,Elena Garcia,Debit Card
ORD-2023127,2023-09-28,Central,Missouri,Kansas City,Home Office,Rowan Sinclair,Technology,Accessories,BraidedCharge USB-C Cable,1,19.33,0,19.33,12.35,6.98,Liam O'Connor,Purchase Order
ORD-2023128,2024-11-27,West,California,San Francisco,Consumer,Riley Underwood,Apparel,Footwear,Portside Slip-On,2,75.34,0.1,135.61,98.13,37.48,Yuki Tanaka,Wire Transfer
ORD-2023129,2024-05-27,West,California,Los Angeles,Consumer,Emerson Lockhart,Furniture,Storage,Ember Filing Unit,4,171.99,0,687.96,430.27,257.69,Priya Patel,Wire Transfer
ORD-2023130,2024-09-23,Central,Texas,Austin,Small Business,Hayden Klein,Office Supplies,Storage,StackWell Storage Bin,1,23.8,0,23.8,18.45,5.35,Chloe Dubois,Apple Pay
ORD-2023131,2024-10-06,West,Oregon,Portland,Home Office,Sam Carter,Furniture,Storage,Cirrus 3-Drawer Cabinet,2,235.43,0.15,400.23,233.73,166.5,Maya Sharma,Apple Pay
ORD-2023132,2023-04-23,East,New York,New York,Small Business,Emerson Quintero,Office Supplies,Storage,StackWell Storage Bin,2,23.95,0.05,45.5,29.32,16.18,Chloe Dubois,Apple Pay
ORD-2023133,2023-03-05,East,Massachusetts,Boston,Home Office,Drew Underwood,Apparel,Footwear,Portside Slip-On,5,75.08,0.1,337.86,238.34,99.52,Jonas Weber,Debit Card
ORD-2023134,2023-09-10,Central,Texas,Austin,Corporate,Avery Sinclair,Office Supplies,Writing,Onyx Gel Pens (12-pack),2,15.55,0.2,24.88,15.5,9.38,Chloe Dubois,PayPal
ORD-2023135,2023-10-22,West,Oregon,Portland,Small Business,Elliot Holloway,Office Supplies,Binders,SlimEdge Ring Binder,8,5.71,0.2,36.54,25.61,10.93,Sofia Rossi,Purchase Order
ORD-2023136,2023-10-05,Central,Texas,Dallas,Consumer,Jamie Emerson,Furniture,Chairs,Halden Ergo Chair,4,360.79,0.05,1371.0,955.21,415.79,Elena Garcia,PayPal
ORD-2023137,2024-04-28,West,California,San Francisco,Consumer,Cameron Lockhart,Furniture,Tables,Compass Meeting Table,7,905.15,0.05,6019.25,4357.09,1662.16,Liam O'Connor,Apple Pay
ORD-2023138,2023-03-02,West,California,San Francisco,Consumer,Quinn Quintero,Furniture,Tables,Northwood Oak Desk,1,523.6,0,523.6,408.07,115.53,Priya Patel,Apple Pay
